round,accuracy,loss
0,0.1029,2.3130784564971925
1,0.7859,0.952515897655487
2,0.971,0.10309149363040924
3,0.9767,0.07084101878106594
4,0.9801,0.06037915193960071
5,0.9836,0.047843501670192926
6,0.9861,0.041851669866591695
7,0.9867,0.0371500421769917
8,0.9878,0.03509246758893132
9,0.9893,0.03284219720747787
10,0.9898,0.031905522686359475
11,0.9892,0.03188633637316525
12,0.9897,0.030492579678620676
13,0.991,0.028621925421757625
14,0.9903,0.027846639361651614
15,0.9904,0.028617786706954938
16,0.9912,0.02790876149593969
17,0.9914,0.026450998363160762
18,0.9908,0.026476817681561807
19,0.9918,0.024662436072871788
20,0.9908,0.025888788025319808
