fraction,gs_fedavg,gs_krum,gs_trimmean,lf_fedavg,lf_krum,lf_trimmean
0.0,99.15,99.15,99.15,99.15,99.15,99.15
0.1,99.19,99.11,99.16,99.11,99.03999999999999,99.16
0.2,82.67,99.05000000000001,99.18,98.89,99.03,99.07000000000001
0.3,9.82,98.92999999999999,99.1,98.96000000000001,88.87,98.8
