round,accuracy,loss
0,0.1036,2.3106945972442627
1,0.8429,0.9720845997810363
2,0.9337,0.2238211480140686
3,0.9683,0.1082331042677164
4,0.9737,0.08697797056436539
5,0.9754,0.07598106157034636
6,0.9816,0.05886066878512502
7,0.9808,0.058586220078915355
8,0.9828,0.052837237849459054
9,0.9845,0.04946484108418226
10,0.9859,0.04762856079563498
11,0.9863,0.04376461227722466
12,0.987,0.04237410379499197
13,0.9865,0.04089178379736841
14,0.9861,0.04294522609710694
15,0.9874,0.040209326763823626
16,0.9883,0.038618353905528785
17,0.9883,0.03643127811383456
18,0.9877,0.03659542989581823
19,0.9877,0.03804535503834486
20,0.988,0.037507630788534876
