round,accuracy,loss
0,0.0594,2.305308973312378
1,0.8877,0.6647470836639404
2,0.9619,0.12157274861335754
3,0.9767,0.07066509459763766
4,0.9821,0.057430353598296645
5,0.9835,0.04945804400220513
6,0.9854,0.04374102411083877
7,0.9862,0.04015032366686501
8,0.9875,0.03718358939695172
9,0.9876,0.035746742641134185
10,0.9885,0.035161560065299274
11,0.9884,0.03486497380125802
12,0.9887,0.032670860906387676
13,0.9894,0.030877975131943822
14,0.9893,0.03344207890183898
15,0.989,0.03151734138790052
16,0.9897,0.029786371440027142
17,0.9901,0.03001257392584521
18,0.9907,0.028465338682068977
19,0.9905,0.027991024423591443
20,0.9905,0.026736222963922772
