round,accuracy,loss
0,0.1272,2.308098442840576
1,0.8354,0.5731732518196105
2,0.97,0.1215232854962349
3,0.9528,0.17510571837425232
4,0.9716,0.09641959459781646
5,0.969,0.10347259175479412
6,0.9768,0.07792647326588631
7,0.9763,0.07813927706964315
8,0.9834,0.053299686150252816
9,0.9785,0.07050781986769289
10,0.9768,0.07858458671569825
11,0.9824,0.05701039757714607
12,0.9754,0.07689339758604764
13,0.9865,0.043277636236976835
14,0.9858,0.04813306611869484
15,0.9902,0.03142418999820948
16,0.988,0.04079733423106372
17,0.989,0.03516216090237722
18,0.9908,0.03163379554266576
19,0.9881,0.03770994698870927
20,0.9919,0.02874544538211776
