round,accuracy,loss
0,0.1267,2.2970513801574706
1,0.9101,0.5938805371284485
2,0.9547,0.16552434504032135
3,0.9458,0.18209410961568356
4,0.9614,0.12929245303571224
5,0.9643,0.11998357778713108
6,0.957,0.1363616016857326
7,0.9741,0.08586047286838293
8,0.9693,0.1006991941705346
9,0.9734,0.09127815159372986
10,0.972,0.0929976964943111
11,0.9765,0.0788644714312628
12,0.9686,0.10021478112898767
13,0.9778,0.07609343077465892
14,0.9756,0.08276739385593683
15,0.9747,0.08246726832166314
16,0.978,0.07132729181461037
17,0.9829,0.0540892057669349
18,0.9706,0.08830466722771525
19,0.9863,0.04344342951588333
20,0.9745,0.07960607608221472
