round,accuracy,loss
0,0.1026,2.3050345344543457
1,0.1959,3.03464525718689
2,0.9489,0.223242180621624
3,0.2523,3.0123488513946532
4,0.9632,0.1358330285191536
5,0.3756,1.7337008707046508
6,0.9621,0.11958494046479463
7,0.4407,1.5842809177398682
8,0.9673,0.11383800355195998
9,0.5753,0.9958059728622437
10,0.9529,0.14543586229234934
11,0.6564,0.8517357655525207
12,0.9658,0.10634798213616013
13,0.5955,1.0589209403038025
14,0.9807,0.06369759636223316
15,0.5582,1.0659336771965027
16,0.9807,0.0632929280012846
17,0.7391,0.5995474830150604
18,0.9807,0.06287263979278505
19,0.9144,0.24275646646022797
20,0.9826,0.057696859256364405
