round,accuracy,loss
0,0.0974,2.302605972290039
1,0.8291,0.7994250810623169
2,0.8688,0.3252230892658234
3,0.8874,0.23665225348472596
4,0.8848,0.21441119966506958
5,0.9073,0.1839313934803009
6,0.9301,0.15309810744524002
7,0.906,0.16737405565977095
8,0.8861,0.253132598900795
9,0.9686,0.10017726019620896
10,0.8856,0.3517719567775726
11,0.979,0.076375305467844
12,0.8876,0.34628281173706055
13,0.977,0.0783331089913845
14,0.8876,0.33003465704917906
15,0.9797,0.07334371271729469
16,0.8889,0.43236868500709535
17,0.9828,0.06452251921892166
18,0.8896,0.49910196113586425
19,0.986,0.053387116730213166
20,0.8892,0.41875925130844116
