round,accuracy,loss
0,0.1367,2.304383387374878
1,0.9461,0.5047572768211365
2,0.9711,0.09720306506752968
3,0.9785,0.06628806543126703
4,0.9815,0.05294366242736578
5,0.983,0.04947419679015875
6,0.9842,0.043227630771324035
7,0.985,0.040902752705663445
8,0.9875,0.035158217998594046
9,0.9877,0.03502146691400558
10,0.9892,0.03191873793713748
11,0.989,0.032514529661927374
12,0.9894,0.030363504940038546
13,0.9898,0.029625822675507514
14,0.9903,0.02866753655443899
15,0.9904,0.02678609825829044
16,0.99,0.02858432198674418
17,0.9906,0.027322649309877305
18,0.9905,0.0267028919658158
19,0.9911,0.02684355630874634
20,0.9912,0.025787599681457506
