round,client_id,l2_norm,is_malicious
1,0,10.455741882324219,True
1,1,10.519495010375977,False
1,2,10.551271438598633,False
1,3,10.705455780029297,False
1,4,10.870809555053711,False
1,5,10.333639144897461,False
1,6,10.47506332397461,False
1,7,10.15173053741455,False
1,8,47.65039825439453,False
1,9,10.004117965698242,False
2,0,10.826699256896973,True
2,1,10.766840934753418,False
2,2,34.263248443603516,False
2,3,10.84131145477295,False
2,4,10.379490852355957,False
2,5,10.709280014038086,False
2,6,10.976926803588867,False
2,7,11.045414924621582,False
2,8,10.797096252441406,False
2,9,10.466503143310547,False
3,0,11.091026306152344,True
3,1,10.828289985656738,False
3,2,11.056730270385742,False
3,3,11.127409934997559,False
3,4,27.655410766601562,False
3,5,10.795930862426758,False
3,6,11.312373161315918,False
3,7,11.015083312988281,False
3,8,11.097369194030762,False
3,9,11.254271507263184,False
4,0,25.51611328125,True
4,1,11.526110649108887,False
4,2,11.406584739685059,False
4,3,11.299534797668457,False
4,4,11.373432159423828,False
4,5,11.156354904174805,False
4,6,11.52295970916748,False
4,7,11.132889747619629,False
4,8,11.380937576293945,False
4,9,11.34683609008789,False
5,0,11.722137451171875,True
5,1,11.623675346374512,False
5,2,11.752593994140625,False
5,3,11.392181396484375,False
5,4,11.572479248046875,False
5,5,11.620763778686523,False
5,6,11.38693618774414,False
5,7,11.517420768737793,False
5,8,24.1472225189209,False
5,9,11.5834379196167,False
6,0,11.71129322052002,True
6,1,11.774863243103027,False
6,2,11.739580154418945,False
6,3,11.624666213989258,False
6,4,11.80534839630127,False
6,5,11.775543212890625,False
6,6,11.929469108581543,False
6,7,11.863736152648926,False
6,8,23.735374450683594,False
6,9,11.894637107849121,False
7,0,12.071556091308594,True
7,1,11.999398231506348,False
7,2,11.825189590454102,False
7,3,11.906506538391113,False
7,4,12.095377922058105,False
7,5,11.947150230407715,False
7,6,23.299633026123047,False
7,7,11.969220161437988,False
7,8,11.80919075012207,False
7,9,11.920916557312012,False
8,0,12.227983474731445,True
8,1,12.122136116027832,False
8,2,12.120189666748047,False
8,3,11.963397026062012,False
8,4,12.160476684570312,False
8,5,12.061195373535156,False
8,6,12.085040092468262,False
8,7,23.321029663085938,False
8,8,11.986336708068848,False
8,9,12.229901313781738,False
9,0,23.254194259643555,True
9,1,12.209492683410645,False
9,2,12.116254806518555,False
9,3,12.3330078125,False
9,4,12.203845024108887,False
9,5,12.385970115661621,False
9,6,12.308528900146484,False
9,7,12.251914024353027,False
9,8,12.282547950744629,False
9,9,12.127937316894531,False
10,0,12.384535789489746,True
10,1,23.006900787353516,False
10,2,12.373844146728516,False
10,3,12.348406791687012,False
10,4,12.382851600646973,False
10,5,12.356406211853027,False
10,6,12.246238708496094,False
10,7,12.462376594543457,False
10,8,12.258316993713379,False
10,9,12.45464038848877,False
11,0,12.37143325805664,True
11,1,12.452651977539062,False
11,2,12.499307632446289,False
11,3,12.575311660766602,False
11,4,12.59814453125,False
11,5,12.504142761230469,False
11,6,23.165342330932617,False
11,7,12.432284355163574,False
11,8,12.510733604431152,False
11,9,12.376534461975098,False
12,0,12.734760284423828,True
12,1,12.563300132751465,False
12,2,12.603114128112793,False
12,3,12.638976097106934,False
12,4,12.543414115905762,False
12,5,22.739255905151367,False
12,6,12.494714736938477,False
12,7,12.688933372497559,False
12,8,12.51944637298584,False
12,9,12.63240909576416,False
13,0,12.582157135009766,True
13,1,12.725137710571289,False
13,2,12.615314483642578,False
13,3,12.71697998046875,False
13,4,12.795740127563477,False
13,5,12.592142105102539,False
13,6,12.735740661621094,False
13,7,12.641036987304688,False
13,8,12.77649974822998,False
13,9,22.682283401489258,False
14,0,12.869612693786621,True
14,1,12.789194107055664,False
14,2,12.688982963562012,False
14,3,22.46880531311035,False
14,4,12.816356658935547,False
14,5,12.744458198547363,False
14,6,12.695782661437988,False
14,7,12.800277709960938,False
14,8,12.803617477416992,False
14,9,12.869891166687012,False
15,0,12.768861770629883,True
15,1,12.825695991516113,False
15,2,12.890875816345215,False
15,3,12.857122421264648,False
15,4,12.970306396484375,False
15,5,23.411571502685547,False
15,6,12.87929630279541,False
