round,accuracy,loss
0,0.1289,2.3118612216949463
1,0.9039,0.7041427008628846
2,0.9693,0.09192511442303658
3,0.9815,0.06307750074267388
4,0.9855,0.04773753051832318
5,0.9866,0.04174435711801052
6,0.9882,0.03661381922159344
7,0.9883,0.03614720254614949
8,0.9885,0.03364899828545749
9,0.99,0.029842913565877826
10,0.9893,0.032641274133697155
11,0.9903,0.028833291371166705
12,0.9904,0.031910957020847126
13,0.9901,0.027587003208277748
14,0.9904,0.028571881609456614
15,0.9902,0.028286198076768777
16,0.991,0.026640616198990028
17,0.9914,0.0268322270703502
18,0.9911,0.025963625948585103
19,0.9911,0.02562348604928702
20,0.9914,0.026107629473693668
