round,accuracy,loss
0,0.0909,2.3077688629150392
1,0.8872,0.6647490585327148
2,0.9556,0.1339861660718918
3,0.9727,0.08532244190871716
4,0.9787,0.06847348349448293
5,0.9806,0.05995149459689855
6,0.9836,0.049144340795278546
7,0.985,0.04601836377419531
8,0.9869,0.04131233745189384
9,0.9867,0.04109277004934847
10,0.9875,0.03974470875225961
11,0.987,0.04025982109792531
12,0.9885,0.03664342660224065
13,0.989,0.03370280839574989
14,0.9887,0.03580490485318005
15,0.9895,0.03400687321666628
16,0.9897,0.029833978872653096
17,0.9902,0.03179450045635458
18,0.9898,0.03350198699380271
19,0.9901,0.031460645549511536
20,0.9907,0.031187135249515996
