round,client_id,l2_norm,is_malicious
1,0,10.330611228942871,True
1,1,10.121683120727539,True
1,2,10.717082023620605,False
1,3,10.074783325195312,False
1,4,10.458686828613281,False
1,5,9.97882080078125,False
1,6,10.135557174682617,False
1,7,10.42724609375,False
1,8,10.847877502441406,False
1,9,10.53830337524414,False
2,0,10.762261390686035,True
2,1,10.503811836242676,True
2,2,10.962408065795898,False
2,3,10.315794944763184,False
2,4,10.420319557189941,False
2,5,10.676565170288086,False
2,6,10.936426162719727,False
2,7,10.395278930664062,False
2,8,10.67012882232666,False
2,9,10.709925651550293,False
3,0,10.95667839050293,True
3,1,10.697367668151855,True
3,2,10.837711334228516,False
3,3,11.030251502990723,False
3,4,10.720541954040527,False
3,5,10.979437828063965,False
3,6,10.833677291870117,False
3,7,11.244300842285156,False
3,8,11.17090892791748,False
3,9,10.991192817687988,False
4,0,11.420397758483887,True
4,1,11.188641548156738,True
4,2,10.985990524291992,False
4,3,11.162930488586426,False
4,4,11.110468864440918,False
4,5,11.25451946258545,False
4,6,11.440531730651855,False
4,7,11.193473815917969,False
4,8,11.00257682800293,False
4,9,11.237553596496582,False
5,0,11.36643123626709,True
5,1,11.393178939819336,True
5,2,11.61160659790039,False
5,3,11.254051208496094,False
5,4,11.45669174194336,False
5,5,11.620087623596191,False
5,6,11.447709083557129,False
5,7,11.222861289978027,False
5,8,11.331442832946777,False
5,9,11.435751914978027,False
6,0,11.442397117614746,True
6,1,11.585824012756348,True
6,2,11.806981086730957,False
6,3,11.673853874206543,False
6,4,11.783013343811035,False
6,5,11.55749225616455,False
6,6,11.567893028259277,False
6,7,11.640320777893066,False
6,8,11.454829216003418,False
6,9,11.583695411682129,False
7,0,11.808116912841797,True
7,1,11.767474174499512,True
7,2,11.90354061126709,False
7,3,11.641230583190918,False
7,4,11.768492698669434,False
7,5,11.721707344055176,False
7,6,11.620390892028809,False
7,7,11.815418243408203,False
7,8,11.957728385925293,False
7,9,11.79645824432373,False
8,0,11.878710746765137,True
8,1,11.988489151000977,True
8,2,11.803805351257324,False
8,3,12.072644233703613,False
8,4,11.912219047546387,False
8,5,11.991951942443848,False
8,6,11.796043395996094,False
8,7,12.065590858459473,False
8,8,11.960859298706055,False
8,9,11.886249542236328,False
9,0,12.089484214782715,True
9,1,11.948310852050781,True
9,2,12.023889541625977,False
9,3,12.047430992126465,False
9,4,12.182846069335938,False
9,5,12.236796379089355,False
9,6,12.081268310546875,False
9,7,12.099472999572754,False
9,8,11.944253921508789,False
9,9,12.221562385559082,False
10,0,12.085237503051758,True
10,1,12.076519966125488,True
10,2,12.155869483947754,False
10,3,12.237312316894531,False
10,4,12.357645988464355,False
10,5,12.165969848632812,False
10,6,12.218229293823242,False
10,7,12.17308235168457,False
10,8,12.32254409790039,False
10,9,12.3291015625,False
11,0,12.40176773071289,True
11,1,12.27514934539795,True
11,2,12.441207885742188,False
11,3,12.208625793457031,False
11,4,12.305103302001953,False
11,5,12.471309661865234,False
11,6,12.330312728881836,False
11,7,12.201687812805176,False
11,8,12.356292724609375,False
11,9,12.315781593322754,False
12,0,12.315521240234375,True
12,1,12.397333145141602,True
12,2,12.45596694946289,False
12,3,12.32015609741211,False
12,4,12.4028959274292,False
12,5,12.560766220092773,False
12,6,12.542295455932617,False
12,7,12.532524108886719,False
12,8,12.471053123474121,False
12,9,12.383654594421387,False
13,0,12.660346031188965,True
13,1,12.621959686279297,True
13,2,12.540078163146973,False
13,3,12.510618209838867,False
13,4,12.543206214904785,False
13,5,12.440656661987305,False
13,6,12.598206520080566,False
13,7,12.501830101013184,False
13,8,12.649025917053223,False
13,9,12.42705249786377,False
14,0,12.680562973022461,True
14,1,12.75617790222168,True
14,2,12.751277923583984,False
14,3,12.60031795501709,False
14,4,12.525875091552734,False
14,5,12.656155586242676,False
14,6,12.523540496826172,False
14,7,12.752721786499023,False
14,8,12.614688873291016,False
14,9,12.617219924926758,False
15,0,12.812321662902832,True
15,1,12.631166458129883,True
15,2,12.695703506469727,False
15,3,12.698589324951172,False
15,4,12.713727951049805,False
15,5,12.741795539855957,False
15,6,12.696905136108398,False
15,7,12.868889808654785,False
15,8,12.624980926513672,False
15,9,12.8648099899292,False
16,0,12.777237892150879,True
16,1,12.713333129882812,True
16,2,12.889851570129395,False
16,3,12.763885498046875,False
16,4,12.835138320922852,False
16,5,12.822362899780273,False
16,6,12.700239181518555,False
16,7,12.901683807373047,False
16,8,12.793248176574707,False
16,9,12.932477951049805,False
17,0,12.793644905090332,True
17,1,12.87951946258545,True
17,2,12.951699256896973,False
17,3,12.867128372192383,False
17,4,13.014131546020508,False
17,5,12.882107734680176,False
17,6,13.07777214050293,False
17,7,12.879883766174316,False
17,8,12.807923316955566,False
17,9,12.831242561340332,False
18,0,12.934468269348145,True
18,1,12.950532913208008,True
18,2,12.857224464416504,False
18,3,12.955606460571289,False
18,4,13.118851661682129,False
18,5,12.931381225585938,False
18,6,13.050434112548828,False
18,7,12.883420944213867,False
18,8,13.076910018920898,False
18,9,12.987654685974121,False
19,0,13.056571006774902,True
19,1,13.00693130493164,True
19,2,12.963592529296875,False
19,3,13.174077987670898,False
19,4,13.00294017791748,False
19,5,13.01858901977539,False
19,6,13.003616333007812,False
19,7,13.134391784667969,False
19,8,13.119894027709961,False
19,9,12.940260887145996,False
20,0,13.114927291870117,True
20,1,13.065149307250977,True
20,2,13.193422317504883,False
20,3,13.005453109741211,False
20,4,13.081293106079102,False
20,5,13.087259292602539,False
20,6,13.206552505493164,False
20,7,13.28256607055664,False
20,8,12.99791145324707,False
20,9,13.038878440856934,False
