round,accuracy,loss
0,0.0886,2.3108076637268065
1,0.8221,0.8156930335998536
2,0.9474,0.1762838504552841
3,0.9628,0.11343884466886521
4,0.9548,0.12768062020540238
5,0.9707,0.0855567246735096
6,0.9844,0.04616714994646609
7,0.9848,0.04457309552542865
8,0.9854,0.041093030847515914
9,0.9868,0.04018137395642698
10,0.9875,0.03983185241818428
11,0.9873,0.03667932078745216
12,0.9894,0.033529551896755584
13,0.9895,0.03306969958711416
14,0.99,0.02929643266114872
15,0.9898,0.03240888090603985
16,0.9908,0.02961958376225084
17,0.991,0.029052705411892383
18,0.9915,0.02768296863681171
19,0.992,0.026305096930917354
20,0.9907,0.029179891096771462
