round,client_id,l2_norm,is_malicious
1,0,10.165871620178223,True
1,1,10.538705825805664,False
1,2,10.53748893737793,False
1,3,10.54651165008545,False
1,4,10.861679077148438,False
1,5,10.936620712280273,False
1,6,10.467062950134277,False
1,7,47.897518157958984,False
1,8,10.546585083007812,False
1,9,10.03841495513916,False
2,0,10.814138412475586,True
2,1,10.876994132995605,False
2,2,11.087699890136719,False
2,3,10.78048038482666,False
2,4,10.480964660644531,False
2,5,33.434146881103516,False
2,6,11.046486854553223,False
2,7,10.827778816223145,False
2,8,10.562898635864258,False
2,9,10.8689546585083,False
3,0,11.122138977050781,True
3,1,11.36063289642334,False
3,2,11.24516773223877,False
3,3,11.396971702575684,False
3,4,11.203913688659668,False
3,5,11.145694732666016,False
3,6,25.790903091430664,False
3,7,10.95934772491455,False
3,8,11.147795677185059,False
3,9,10.963714599609375,False
4,0,11.424168586730957,True
4,1,11.496414184570312,False
4,2,11.673908233642578,False
4,3,23.60236358642578,False
4,4,11.265308380126953,False
4,5,11.499018669128418,False
4,6,11.28935432434082,False
4,7,11.416426658630371,False
4,8,11.49262523651123,False
4,9,11.64995002746582,False
5,0,11.72270679473877,True
5,1,22.630523681640625,False
5,2,11.71926212310791,False
5,3,11.876686096191406,False
5,4,11.66486930847168,False
5,5,11.509379386901855,False
5,6,11.728320121765137,False
5,7,11.533385276794434,False
5,8,11.84217357635498,False
5,9,11.669493675231934,False
6,0,12.037174224853516,True
6,1,11.843840599060059,False
6,2,11.881868362426758,False
6,3,11.724787712097168,False
6,4,11.887162208557129,False
6,5,12.036009788513184,False
6,6,11.740161895751953,False
6,7,11.904213905334473,False
6,8,21.53742790222168,False
6,9,11.867220878601074,False
7,0,11.992998123168945,True
7,1,11.90993881225586,False
7,2,12.011454582214355,False
7,3,12.159372329711914,False
7,4,11.901639938354492,False
7,5,12.202166557312012,False
7,6,12.05050277709961,False
7,7,21.925800323486328,False
7,8,12.052633285522461,False
7,9,12.062774658203125,False
8,0,12.21607780456543,True
8,1,12.306236267089844,False
8,2,12.078215599060059,False
8,3,12.185663223266602,False
8,4,12.06201171875,False
8,5,12.16067123413086,False
8,6,12.153223991394043,False
8,7,21.82208824157715,False
8,8,12.292484283447266,False
8,9,12.185942649841309,False
9,0,20.045574188232422,True
9,1,12.341313362121582,False
9,2,12.31522274017334,False
9,3,12.438491821289062,False
9,4,12.404067993164062,False
9,5,12.368436813354492,False
9,6,12.193184852600098,False
9,7,12.361580848693848,False
9,8,12.253931045532227,False
9,9,12.353067398071289,False
10,0,12.401556015014648,True
10,1,12.336752891540527,False
10,2,12.490518569946289,False
10,3,12.458930015563965,False
10,4,12.549921989440918,False
10,5,12.352104187011719,False
10,6,12.580840110778809,False
10,7,19.989212036132812,False
10,8,12.44755744934082,False
10,9,12.470160484313965,False
11,0,12.526885032653809,True
11,1,12.57230281829834,False
11,2,12.657573699951172,False
11,3,12.54675006866455,False
11,4,12.598770141601562,False
11,5,12.612048149108887,False
11,6,12.644225120544434,False
11,7,20.033716201782227,False
11,8,12.472013473510742,False
11,9,12.45518684387207,False
12,0,12.561716079711914,True
12,1,12.698103904724121,False
12,2,12.61065673828125,False
