round,client_id,l2_norm,is_malicious
1,0,48.6382942199707,True
1,1,10.559234619140625,True
1,2,52.3579216003418,True
1,3,10.034674644470215,False
1,4,10.168384552001953,False
1,5,48.08619689941406,False
1,6,10.493265151977539,False
1,7,10.791776657104492,False
1,8,10.483312606811523,False
1,9,10.884143829345703,False
2,0,33.3360481262207,True
2,1,11.040205001831055,True
2,2,37.07338333129883,True
2,3,11.065213203430176,False
2,4,11.296059608459473,False
2,5,10.693075180053711,False
2,6,33.83075714111328,False
2,7,11.25142765045166,False
2,8,10.957859992980957,False
2,9,10.638264656066895,False
3,0,11.534605026245117,True
3,1,27.129287719726562,True
3,2,11.692062377929688,True
3,3,11.343499183654785,False
3,4,25.982025146484375,False
3,5,11.492278099060059,False
3,6,11.31831169128418,False
3,7,11.709033966064453,False
3,8,25.122413635253906,False
3,9,11.554315567016602,False
4,0,11.797391891479492,True
4,1,11.972448348999023,True
4,2,11.86307144165039,True
4,3,11.894370079040527,False
4,4,25.580537796020508,False
4,5,22.871902465820312,False
4,6,12.004941940307617,False
4,7,23.255937576293945,False
4,8,11.655081748962402,False
4,9,11.694914817810059,False
5,0,12.231993675231934,True
5,1,12.03447437286377,True
5,2,24.55167007446289,True
5,3,11.95274543762207,False
5,4,21.88839340209961,False
5,5,12.230175018310547,False
5,6,11.94721794128418,False
5,7,22.269479751586914,False
5,8,12.243305206298828,False
5,9,12.1441068649292,False
6,0,21.053991317749023,True
6,1,12.16617202758789,True
6,2,12.461952209472656,True
6,3,12.357433319091797,False
6,4,12.275574684143066,False
6,5,12.43596076965332,False
6,6,12.195106506347656,False
6,7,23.572189331054688,False
6,8,21.769351959228516,False
6,9,12.323813438415527,False
7,0,22.598928451538086,True
7,1,12.511876106262207,True
7,2,12.440718650817871,True
7,3,12.371709823608398,False
7,4,12.523580551147461,False
7,5,20.57550811767578,False
7,6,12.59658145904541,False
7,7,21.75377082824707,False
7,8,12.378445625305176,False
7,9,12.614230155944824,False
8,0,21.245830535888672,True
8,1,12.762002944946289,True
8,2,12.533286094665527,True
8,3,12.600500106811523,False
8,4,23.35114860534668,False
8,5,12.68665599822998,False
8,6,20.84073829650879,False
8,7,12.66830825805664,False
8,8,12.551977157592773,False
8,9,12.759675979614258,False
9,0,12.700008392333984,True
9,1,12.810856819152832,True
9,2,12.801738739013672,True
9,3,20.27972412109375,False
9,4,12.909337043762207,False
9,5,12.870590209960938,False
9,6,12.748514175415039,False
9,7,21.963035583496094,False
9,8,12.666544914245605,False
9,9,20.740371704101562,False
10,0,12.999939918518066,True
10,1,22.19417381286621,True
10,2,19.692575454711914,True
10,3,12.91119384765625,False
10,4,12.807241439819336,False
10,5,13.027085304260254,False
10,6,12.819819450378418,False
10,7,12.869769096374512,False
10,8,12.940885543823242,False
10,9,20.100051879882812,False
11,0,22.72343635559082,True
11,1,12.929656982421875,True
11,2,13.085280418395996,True
11,3,13.04039478302002,False
11,4,20.3985595703125,False
11,5,13.104728698730469,False
11,6,12.972044944763184,False
11,7,19.31772804260254,False
11,8,12.9348783493042,False
11,9,13.051290512084961,False
12,0,13.182772636413574,True
12,1,13.175895690917969,True
12,2,13.046788215637207,True
12,3,13.092050552368164,False
12,4,13.20617961883545,False
12,5,19.95787811279297,False
12,6,13.034375190734863,False
12,7,20.92418670654297,False
12,8,19.397850036621094,False
12,9,13.144743919372559,False
13,0,13.28242301940918,True
13,1,21.925880432128906,True
