round,accuracy,loss
0,0.1186,2.2996486083984373
1,0.8052,1.0857632320404054
2,0.9189,0.22877310206890106
3,0.9552,0.12957696505784988
4,0.9681,0.099676969987154
5,0.9734,0.07947820318341255
6,0.9775,0.06721270015835762
7,0.9805,0.05879444977045059
8,0.9826,0.05384065287783742
9,0.9845,0.04744952917322517
10,0.9852,0.04481979509405792
11,0.9857,0.043046338695287706
12,0.9868,0.04058072993885726
13,0.9879,0.03754979628566653
14,0.9868,0.043112873871997
15,0.9862,0.04215863820686937
16,0.9876,0.038470211609080436
17,0.9883,0.03642492162454873
18,0.9887,0.03585312022622675
19,0.9893,0.033300544330012054
20,0.9886,0.03664320543203503
