round,accuracy,loss
0,0.0952,2.3100795482635497
1,0.9368,0.5517124417304993
2,0.9705,0.10301642684042454
3,0.9774,0.06955276453346014
4,0.9815,0.05744022345095873
5,0.9855,0.045307067674398425
6,0.9855,0.04308841564431787
7,0.986,0.03884774940237403
8,0.987,0.03497926659546793
9,0.9875,0.03291098601771519
10,0.9892,0.03145416490379721
11,0.988,0.03244301339816302
12,0.9891,0.029135127453878522
13,0.989,0.029523808339238167
14,0.9895,0.028052040265034883
15,0.9899,0.02653703631251119
16,0.9897,0.028162939113611354
17,0.9895,0.028902559412270785
18,0.9909,0.026462024915218353
19,0.9912,0.025343098547880073
20,0.9907,0.0257301182745141
