round,client_id,l2_norm,is_malicious
1,0,47.781410217285156,True
1,1,10.123682022094727,False
1,2,10.519001007080078,False
1,3,10.535658836364746,False
1,4,10.513335227966309,False
1,5,10.462408065795898,False
1,6,10.76366901397705,False
1,7,10.052666664123535,False
1,8,10.956809997558594,False
1,9,10.375356674194336,False
2,0,11.101232528686523,True
2,1,10.834778785705566,False
2,2,10.801079750061035,False
2,3,33.34907913208008,False
2,4,10.574943542480469,False
2,5,10.912591934204102,False
2,6,10.791657447814941,False
2,7,10.462698936462402,False
2,8,10.806855201721191,False
2,9,11.039015769958496,False
3,0,11.15818977355957,True
3,1,11.195579528808594,False
3,2,11.367420196533203,False
3,3,11.164702415466309,False
3,4,11.119723320007324,False
3,5,10.908443450927734,False
3,6,11.3494291305542,False
3,7,10.900980949401855,False
3,8,26.992116928100586,False
3,9,11.08695125579834,False
4,0,11.197332382202148,True
4,1,11.628697395324707,False
4,2,11.450664520263672,False
4,3,11.400171279907227,False
4,4,11.248421669006348,False
4,5,11.37136173248291,False
4,6,11.46257209777832,False
4,7,25.203542709350586,False
4,8,11.598462104797363,False
4,9,11.355316162109375,False
5,0,11.647680282592773,True
5,1,11.465846061706543,False
5,2,11.654645919799805,False
5,3,11.776532173156738,False
5,4,11.467242240905762,False
5,5,23.32459831237793,False
5,6,11.687479972839355,False
5,7,11.598992347717285,False
5,8,11.643271446228027,False
5,9,11.79942798614502,False
6,0,11.680849075317383,True
6,1,11.958277702331543,False
6,2,11.874846458435059,False
6,3,11.79542064666748,False
6,4,11.874783515930176,False
6,5,11.884283065795898,False
6,6,23.51249885559082,False
6,7,11.797689437866211,False
6,8,11.96972942352295,False
6,9,11.685834884643555,False
7,0,12.017011642456055,True
7,1,12.051373481750488,False
7,2,12.008186340332031,False
7,3,12.151230812072754,False
7,4,11.972420692443848,False
7,5,12.153528213500977,False
7,6,11.980237007141113,False
7,7,11.849960327148438,False
7,8,23.032472610473633,False
7,9,11.872499465942383,False
8,0,12.174054145812988,True
8,1,12.277697563171387,False
8,2,12.202042579650879,False
8,3,12.118999481201172,False
8,4,12.281298637390137,False
8,5,12.025993347167969,False
8,6,22.639883041381836,False
8,7,12.183602333068848,False
8,8,12.046751022338867,False
8,9,12.107239723205566,False
9,0,12.425456047058105,True
9,1,12.402162551879883,False
9,2,22.7347354888916,False
9,3,12.32246208190918,False
9,4,12.198278427124023,False
9,5,12.26859188079834,False
9,6,12.266034126281738,False
9,7,12.347132682800293,False
9,8,12.313944816589355,False
9,9,12.324649810791016,False
10,0,12.563935279846191,True
10,1,12.39937686920166,False
10,2,12.4597806930542,False
10,3,12.368919372558594,False
10,4,12.33615779876709,False
10,5,12.445409774780273,False
10,6,12.533297538757324,False
10,7,22.955211639404297,False
10,8,12.330601692199707,False
10,9,12.45247745513916,False
11,0,12.559396743774414,True
11,1,12.6310453414917,False
11,2,12.44560718536377,False
11,3,12.679272651672363,False
11,4,12.581605911254883,False
11,5,22.696680068969727,False
11,6,12.491111755371094,False
11,7,12.565618515014648,False
11,8,12.52420425415039,False
11,9,12.442734718322754,False
12,0,12.551382064819336,True
12,1,22.607086181640625,False
12,2,12.690523147583008,False
12,3,12.728219032287598,False
12,4,12.654807090759277,False
12,5,12.672650337219238,False
12,6,12.560395240783691,False
12,7,12.62341022491455,False
12,8,12.783541679382324,False
12,9,12.624922752380371,False
13,0,12.73290729522705,True
13,1,12.756333351135254,False
13,2,21.903465270996094,False
13,3,12.733711242675781,False
13,4,12.829628944396973,False
13,5,12.658761978149414,False
13,6,12.786349296569824,False
13,7,12.750682830810547,False
13,8,12.841796875,False
13,9,12.665190696716309,False
14,0,22.717504501342773,True
14,1,12.822590827941895,False
14,2,12.934808731079102,False
14,3,12.920951843261719,False
14,4,12.88150405883789,False
