round,accuracy,loss
0,0.1038,2.30392073135376
1,0.933,0.6458336215972901
2,0.9723,0.09351552503705025
3,0.9789,0.06297320061773062
4,0.9833,0.05118583482503891
5,0.9856,0.04479578551091254
6,0.9868,0.040019235335290435
7,0.9876,0.03864616436809301
8,0.989,0.03482639520764351
9,0.9896,0.03276373860286549
10,0.9898,0.031145572280976922
11,0.99,0.0305358611503616
12,0.9905,0.02898814160642214
13,0.9903,0.028461488852160984
14,0.9903,0.027411181245744227
15,0.9902,0.028694192641740664
16,0.9903,0.028005543397855943
17,0.9918,0.025677431732928382
18,0.9919,0.025060270836728158
19,0.9915,0.026564233685843645
20,0.9918,0.02429405308039859
