round,client_id,l2_norm,is_malicious
1,0,10.152050971984863,True
1,1,10.520832061767578,False
1,2,10.932058334350586,False
1,3,10.56893539428711,False
1,4,10.817245483398438,False
1,5,10.190836906433105,False
1,6,10.414346694946289,False
1,7,10.535122871398926,False
1,8,10.175960540771484,False
1,9,10.492398262023926,False
2,0,10.42933177947998,True
2,1,10.859600067138672,False
2,2,10.846197128295898,False
2,3,10.763077735900879,False
2,4,10.608966827392578,False
2,5,10.544221878051758,False
2,6,11.135360717773438,False
2,7,11.068499565124512,False
2,8,10.832097053527832,False
2,9,10.8336763381958,False
3,0,10.888227462768555,True
3,1,11.183533668518066,False
3,2,11.077407836914062,False
3,3,11.171826362609863,False
3,4,11.009227752685547,False
3,5,11.161398887634277,False
3,6,10.898375511169434,False
3,7,11.4003324508667,False
3,8,11.299140930175781,False
3,9,11.168813705444336,False
4,0,11.35374927520752,True
4,1,11.599949836730957,False
4,2,11.18425464630127,False
4,3,11.440471649169922,False
4,4,11.298043251037598,False
4,5,11.224601745605469,False
4,6,11.407641410827637,False
4,7,11.65822696685791,False
4,8,11.42230224609375,False
4,9,11.383212089538574,False
5,0,11.43589973449707,True
5,1,11.4601469039917,False
5,2,11.570842742919922,False
5,3,11.607734680175781,False
5,4,11.613807678222656,False
5,5,11.6490478515625,False
5,6,11.546295166015625,False
5,7,11.765095710754395,False
5,8,11.797040939331055,False
5,9,11.653694152832031,False
6,0,12.00724983215332,True
6,1,11.646966934204102,False
6,2,11.635114669799805,False
6,3,11.787389755249023,False
6,4,11.842438697814941,False
6,5,11.847773551940918,False
6,6,11.957511901855469,False
6,7,11.744590759277344,False
6,8,11.855428695678711,False
6,9,11.739726066589355,False
7,0,11.991082191467285,True
7,1,11.930426597595215,False
7,2,11.837651252746582,False
7,3,12.159082412719727,False
7,4,11.845291137695312,False
7,5,11.949990272521973,False
7,6,11.99833869934082,False
7,7,12.128236770629883,False
7,8,12.032366752624512,False
7,9,11.949478149414062,False
8,0,12.15107536315918,True
8,1,12.154212951660156,False
8,2,12.0957670211792,False
8,3,12.108253479003906,False
8,4,12.013233184814453,False
8,5,12.270851135253906,False
8,6,12.266098022460938,False
8,7,12.096650123596191,False
8,8,12.146120071411133,False
8,9,12.007534980773926,False
9,0,12.214088439941406,True
9,1,12.22179889678955,False
9,2,12.306684494018555,False
9,3,12.138579368591309,False
9,4,12.361725807189941,False
9,5,12.285818099975586,False
9,6,12.14696979522705,False
9,7,12.29555892944336,False
9,8,12.421074867248535,False
9,9,12.222554206848145,False
10,0,12.379897117614746,True
10,1,12.247708320617676,False
10,2,12.37360668182373,False
10,3,12.426922798156738,False
10,4,12.468016624450684,False
10,5,12.345026016235352,False
10,6,12.283280372619629,False
10,7,12.394477844238281,False
10,8,12.423009872436523,False
10,9,12.546466827392578,False
11,0,12.382807731628418,True
11,1,12.64403247833252,False
11,2,12.484234809875488,False
11,3,12.51642894744873,False
11,4,12.460017204284668,False
11,5,12.363430976867676,False
11,6,12.600123405456543,False
11,7,12.488017082214355,False
11,8,12.519856452941895,False
11,9,12.469869613647461,False
12,0,12.586650848388672,True
12,1,12.54191780090332,False
12,2,12.567696571350098,False
12,3,12.63591194152832,False
12,4,12.743168830871582,False
12,5,12.713288307189941,False
12,6,12.503270149230957,False
12,7,12.626941680908203,False
12,8,12.498011589050293,False
12,9,12.574399948120117,False
13,0,12.737889289855957,True
13,1,12.721226692199707,False
13,2,12.724552154541016,False
13,3,12.853250503540039,False
13,4,12.663990020751953,False
13,5,12.606001853942871,False
13,6,12.720248222351074,False
13,7,12.56950569152832,False
13,8,12.80417251586914,False
13,9,12.667353630065918,False
14,0,12.798111915588379,True
14,1,12.873279571533203,False
14,2,12.673664093017578,False
14,3,12.875068664550781,False
14,4,12.892804145812988,False
14,5,12.770231246948242,False
14,6,12.823810577392578,False
14,7,12.68396282196045,False
14,8,12.747547149658203,False
14,9,12.753838539123535,False
15,0,12.950906753540039,True
15,1,12.834795951843262,False
15,2,12.767289161682129,False
15,3,12.856975555419922,False
15,4,13.00418472290039,False
15,5,12.853394508361816,False
15,6,12.913951873779297,False
15,7,12.901660919189453,False
15,8,12.856088638305664,False
15,9,12.772600173950195,False
16,0,12.847983360290527,True
16,1,12.977034568786621,False
16,2,13.071439743041992,False
16,3,12.992319107055664,False
16,4,13.029534339904785,False
16,5,12.955205917358398,False
16,6,12.924211502075195,False
16,7,12.902810096740723,False
16,8,12.929738998413086,False
16,9,12.865846633911133,False
17,0,12.92273235321045,True
17,1,12.989141464233398,False
17,2,13.085284233093262,False
17,3,13.06581974029541,False
17,4,13.149579048156738,False
17,5,12.992918968200684,False
17,6,12.93837833404541,False
17,7,13.032923698425293,False
17,8,13.021866798400879,False
17,9,13.00502872467041,False
18,0,13.009428024291992,True
18,1,13.11845874786377,False
18,2,13.108559608459473,False
18,3,13.051620483398438,False
18,4,13.056729316711426,False
18,5,13.012761116027832,False
18,6,13.175256729125977,False
18,7,13.216086387634277,False
18,8,13.082660675048828,False
18,9,13.089803695678711,False
19,0,13.083525657653809,True
19,1,13.128815650939941,False
19,2,13.078042030334473,False
19,3,13.151435852050781,False
19,4,13.299342155456543,False
19,5,13.172124862670898,False
19,6,13.235621452331543,False
19,7,13.191913604736328,False
19,8,13.131084442138672,False
19,9,13.172364234924316,False
20,0,13.134162902832031,True
20,1,13.256379127502441,False
20,2,13.190732955932617,False
20,3,13.297979354858398,False
20,4,13.236847877502441,False
20,5,13.198565483093262,False
20,6,13.149059295654297,False
20,7,13.344295501708984,False
20,8,13.186258316040039,False
20,9,13.24601936340332,False
