round,accuracy,loss
0,0.096,2.308802494812012
1,0.8856,0.6884473631858826
2,0.9675,0.11007031819820404
3,0.9779,0.06896826053410768
4,0.9802,0.05731210430972278
5,0.9813,0.05254560419823975
6,0.9841,0.04268512792196125
7,0.985,0.040173257074318826
8,0.9863,0.03750231979079544
9,0.9864,0.03486485064402223
10,0.9877,0.034038537347735834
11,0.989,0.031408341530011964
12,0.9893,0.030609639975393656
13,0.9897,0.02989771291867364
14,0.9896,0.029750973860826344
15,0.9904,0.027870487219502683
16,0.9901,0.029698368144867707
17,0.99,0.029616352965822445
18,0.9904,0.028540087753272384
19,0.9904,0.02691701213051565
20,0.9904,0.027706881064147454
