round,accuracy,loss
0,0.1198,2.29580567779541
1,0.9408,0.6817389493942261
2,0.9746,0.0843729114100337
3,0.9797,0.061736042769253256
4,0.9837,0.0494140191026032
5,0.9861,0.042073755251336845
6,0.9854,0.04079739068383351
7,0.9881,0.035118371496535836
8,0.9876,0.03523363558202982
9,0.9892,0.03118418505131267
10,0.9896,0.03058251623744145
11,0.9899,0.02992090774560347
12,0.9899,0.02928820717751514
13,0.9897,0.028112640538217964
14,0.9908,0.027298100116394927
15,0.9901,0.028390933173359372
16,0.9911,0.02640736448233365
17,0.991,0.025770380146196113
18,0.9912,0.02547342209581984
19,0.9909,0.02633497176534147
20,0.9911,0.025668951685680078
