round,accuracy,loss
0,0.0651,2.310453421783447
1,0.8641,0.34780168087482455
2,0.9751,0.0817880796290934
3,0.9767,0.07555611626058817
4,0.9822,0.05305803219005466
5,0.9845,0.046377592311985794
6,0.9844,0.044895550239272414
7,0.9872,0.03917361935898662
8,0.9877,0.03848558686040342
9,0.9885,0.033413481053663416
10,0.9872,0.03698967061464209
11,0.9882,0.03768381386859692
12,0.989,0.033793633972713726
13,0.9891,0.03418293448887998
14,0.988,0.03900450738267973
15,0.9897,0.03238227415009169
16,0.9888,0.036414535498793706
17,0.9899,0.02997344949042308
18,0.9899,0.0314539639685303
19,0.99,0.029118127558453125
20,0.9902,0.0315480885691999
